<<<<<<< HEAD
17	3
17	5
17	8
17	11
17	12
17	12
17	13
17	15
17	17
17	20
17	21
17	22
17	22
17	25
17	27
17	30
17	35
17	36
17	39
17	40
17	41
17	41
17	42
17	42
17	43
17	44
17	46
17	47
17	48
17	53
17	53
17	54
17	55
17	57
17	57
17	58
18	3
18	4
18	5
18	5
18	8
18	8
18	8
18	8
18	10
18	11
18	12
18	12
18	13
18	15
18	16
18	17
18	18
18	19
18	20
18	21
18	21
18	22
=======
17	3
17	5
17	8
17	11
17	12
17	12
17	13
17	15
17	17
17	20
17	21
17	22
17	22
17	25
17	27
17	30
17	35
17	36
17	39
17	40
17	41
17	41
17	42
17	42
17	43
17	44
17	46
17	47
17	48
17	53
17	53
17	54
17	55
17	57
17	57
17	58
18	3
18	4
18	5
18	5
18	8
18	8
18	8
18	8
18	10
18	11
18	12
18	12
18	13
18	15
18	16
18	17
18	18
18	19
18	20
18	21
18	21
18	22
>>>>>>> f31a5165fc03c1d1bf8a13058906265ea2bc8bef
